City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,utrik,11.2278,169.8474,28.31,73,28,8.32,MH,1698542956
152,abalak,58.1286,68.5944,-7.03,94,37,2.2,RU,1698542956
153,souillac,-20.5167,57.5167,22.21,94,20,2.06,MU,1698542956
154,flying fish cove,-10.4217,105.6791,26.82,78,100,4.12,CX,1698542957
155,san antonio de pale,-1.4014,5.6325,25.81,82,7,3.04,GQ,1698542957
156,tindouf,27.6711,-8.1474,19.25,52,0,5.14,DZ,1698542880
157,avarua,-21.2078,-159.775,24.03,64,75,5.66,CK,1698542957
158,california city,35.1258,-117.9859,16.75,32,0,9.26,US,1698542958
159,quellon,-43.1167,-73.6167,6.69,82,87,6.05,CL,1698542958
160,vilyuysk,63.7553,121.6247,-9.44,97,100,1.79,RU,1698542958
161,faya-largeau,17.9257,19.1043,25.61,16,0,6.1,TD,1698542958
162,rivera,-30.9053,-55.5508,20.49,95,98,2.54,UY,1698542959
163,alofi,-19.0595,-169.9187,27.94,65,35,7.72,NU,1698542959
164,chonchi,-42.6128,-73.8092,6.56,92,100,4.74,CL,1698542959
165,khorugh,37.4897,71.553,8.96,42,100,0.99,TJ,1698542959
166,acarau,-2.8856,-40.12,26.24,79,3,8.64,BR,1698542959
167,muang phonsavan,19.45,103.2167,19.2,98,100,0.9,LA,1698542960
168,ciudad bolivar,8.1222,-63.5497,31.11,48,97,2.54,VE,1698542960
169,iwon-up,40.3231,128.6553,12.7,60,5,0.59,KP,1698542960
170,dunedin,-45.8742,170.5036,11.56,79,51,1.79,NZ,1698542934
171,weno,7.4515,151.8468,29.97,84,100,4.12,FM,1698542961
172,talnakh,69.4865,88.3972,-20.4,96,60,1.1,RU,1698542961
173,santa elena de uairen,4.6167,-61.1333,22.89,73,92,1.25,VE,1698542961
174,kirensk,57.7853,108.1119,-3.91,51,66,3.58,RU,1698542961
175,longyearbyen,78.2186,15.6401,-3.09,86,75,1.03,SJ,1698542961
176,atafu village,-8.5421,-172.5159,29.24,70,23,4.6,TK,1698542962
177,taltal,-25.4,-70.4833,15.66,82,35,0.28,CL,1698542962
178,kapa'a,22.0752,-159.319,28.99,72,0,6.69,US,1698542962
179,waingapu,-9.6567,120.2641,30.18,60,92,4.57,ID,1698542962
180,howard springs,-12.497,131.047,32.71,61,80,0.97,AU,1698542963
181,altai,46.3722,96.2583,-1.81,38,100,0.93,MN,1698542963
182,touros,-5.1989,-35.4608,26.5,67,97,7.04,BR,1698542963
183,kampene,-3.6,26.6667,19.47,98,91,0.48,CD,1698542963
184,aldinga beach,-35.2793,138.4604,22.37,50,27,2.93,AU,1698542963
185,jalalaqsi,3.3766,45.5996,24.63,85,97,1.15,SO,1698542964
186,egilsstadir,65.2653,-14.3948,0.95,100,75,1.54,IS,1698542964
187,bethel,41.3712,-73.414,20.42,65,20,4.63,US,1698542879
188,launceston,-41.45,147.1667,16.8,48,40,7.72,AU,1698542669
189,berezovyy,51.6667,135.7,2.77,46,95,0.6,RU,1698542964
190,port alfred,-33.5906,26.891,13.85,54,100,6.27,ZA,1698542965
191,vegreville,53.5001,-112.0518,-1.61,74,91,4.63,CA,1698542965
192,dadukou,26.5479,101.7054,16.77,70,0,0.65,CN,1698542965
193,banda aceh,5.5577,95.3222,26.82,80,100,3.75,ID,1698542965
194,hawaiian paradise park,19.5933,-154.9731,27.66,74,0,0.89,US,1698542928
195,benalla,-36.55,145.9833,22.39,29,100,4.47,AU,1698542966
196,castro-urdiales,43.3829,-3.2204,19.58,88,100,1.25,ES,1698542966
197,aral,40.5156,81.2636,11.91,34,100,2.2,CN,1698542967
198,palmer,42.1584,-72.3287,17.18,53,0,3.6,US,1698542758
199,bouarfa,32.53,-1.95,18.17,40,100,2.02,MA,1698542967
200,pacific grove,36.6177,-121.9166,19.58,68,0,4.02,US,1698542967
201,dalandzadgad,43.5708,104.425,5.08,45,71,1.86,MN,1698542968
202,nepomuceno,-21.2358,-45.2358,21.45,84,92,1.53,BR,1698542968
203,acapulco de juarez,16.8634,-99.8901,26.98,86,100,2.94,MX,1698542861
204,lautoka,-17.6167,177.4667,31.92,55,20,7.72,FJ,1698542968
205,san lawrenz,36.0553,14.204,20.48,87,28,3.54,MT,1698542969
206,vernal,40.4555,-109.5287,3.84,45,0,4.12,US,1698542969
207,maksatikha,57.797,35.8825,-1.45,98,100,1.78,RU,1698542969
208,okhotsk,59.3833,143.3,-3.24,81,100,5.34,RU,1698542969
209,miles city,46.4083,-105.8406,-7.46,93,0,2.06,US,1698542969
210,saurimo,-9.6608,20.3916,17.75,82,25,0.71,AO,1698542970
211,la passe,45.5549,-0.8967,15.55,88,100,9.05,FR,1698542970
212,hizan,38.2257,42.4278,11.14,79,0,0.5,TR,1698542970
213,afaahiti,-17.75,-149.2833,26.93,76,100,4.15,PF,1698542970
214,zorritos,-3.6805,-80.6782,25.16,81,100,3.93,PE,1698542971
215,jalasjarvi,62.5,22.75,-4.03,91,14,1.36,FI,1698542971
216,namtsy,62.7161,129.6658,-4.81,96,100,1.76,RU,1698542971
217,totskoye,52.5248,52.7623,9.94,97,100,6.49,RU,1698542971
218,mersing,2.4312,103.8405,23.95,100,40,2.06,MY,1698542972
219,crane,31.3974,-102.3501,22.13,66,7,9.25,US,1698542972
220,shenjiamen,29.9576,122.298,21.16,56,83,4.17,CN,1698542972
221,punta arenas,-53.15,-70.9167,4.06,65,75,3.6,CL,1698542972
222,hongseong,36.6009,126.665,16.21,63,0,1.24,KR,1698542932
223,sijunjung,-0.6876,100.9537,26.26,68,10,0.16,ID,1698542973
224,nguigmi,14.2495,13.1092,27.97,23,100,4.14,NE,1698542973
225,luderitz,-26.6481,15.1594,16.28,57,0,7.6,NA,1698542973
226,fort st. john,56.2499,-120.8529,-0.06,59,20,1.54,CA,1698542973
227,whakatane,-37.9585,176.9854,18.27,62,100,1.79,NZ,1698542973
228,aykhal,66.0,111.5,-17.11,99,100,5.01,RU,1698542788
